date,1. open,2. high,3. low,4. close,5. volume,Ticker
2024-05-06,167.16,171.17,164.51,169.14,4007044.0,GEV
2024-05-03,155.63,167.17,155.14,166.26,4635134.0,GEV
2024-05-02,153.53,155.44,151.6589,153.83,2530741.0,GEV
2024-05-01,154.19,156.7,149.4207,151.67,3397459.0,GEV
2024-04-30,158.14,163.1,152.25,153.71,3490075.0,GEV
2024-04-29,153.58,159.55,153.58,159.01,5937215.0,GEV
2024-04-26,153.64,157.25,150.2,153.07,4230515.0,GEV
2024-04-25,143.0,152.14,138.6725,148.31,6069264.0,GEV
2024-04-24,147.0,149.9,144.35,146.18,4684613.0,GEV
2024-04-23,138.46,148.35,137.87,147.83,4682814.0,GEV
2024-04-22,135.52,137.14,132.11,136.69,2435104.0,GEV
2024-04-19,137.25,140.59,134.905,135.1,4518763.0,GEV
2024-04-18,138.15,138.41,135.43,137.22,5022268.0,GEV
2024-04-17,132.04,138.18,131.25,134.75,6154554.0,GEV
2024-04-16,132.5,133.05,128.25,130.07,5870930.0,GEV
2024-04-15,134.6,135.32,129.85,131.75,3724891.0,GEV
2024-04-12,135.0,138.11,133.555,134.0,3765246.0,GEV
2024-04-11,139.2,139.32,136.41,136.57,5326943.0,GEV
2024-04-10,129.5,139.93,128.94,138.37,8376809.0,GEV
2024-04-09,130.87,133.6,128.25,132.17,8524207.0,GEV
2024-04-08,126.13,131.95,125.86,129.96,11671134.0,GEV
2024-04-05,125.5,128.18,119.0,122.7,15985192.0,GEV
2024-04-04,136.0,139.35,125.26,126.06,14105730.0,GEV
2024-04-03,142.3,144.0,135.8,137.34,8855212.0,GEV
2024-04-02,142.85,152.48,138.64,140.0,18202667.0,GEV
2024-04-01,141.01,144.33,137.07,142.02,1029500.0,GEV
2024-03-28,137.93,137.93,129.96,136.75,2239100.0,GEV
2024-03-27,115.0,135.0,115.0,131.25,4960400.0,GEV
